# Ensemble Comparison Report (threshold = 0.02)
# Format: SMILES	Classical	Hybrid	Ensemble	(Ensemble - Classical)	(Ensemble - Hybrid)
CC1CCC(CNc2ccc(C(C)(C)C#N)cc2)O1	0.9250	0.9298	0.9356	+0.0107	+0.0058
COc1ccc(NC(=O)Nc2nnc(N3CCCC(C)C3)s2)cc1OC	0.9665	0.9206	0.9559	-0.0106	+0.0353
N=C(O)CNCCS(=O)(=O)O	0.9328	0.9249	0.9433	+0.0104	+0.0183
CCN1CCCC1CNC(=O)C(=O)NC1CCC(C(C)(C)C)CC1	0.9443	0.8951	0.9359	-0.0085	+0.0408
CC(C)(C)C(=O)Oc1ccc(O)c2c1C(=O)C1CC(=O)C=CC1C2O	0.8504	0.8768	0.8734	+0.0230	-0.0034
OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1	0.9343	0.9342	0.9445	+0.0103	+0.0103
C=C1C(=O)OC2C=C(C)C3(O)OC(C)(CC(OC(=O)C(C)C)C12)CC3OC(C)=O	0.9498	0.9609	0.9649	+0.0150	+0.0040
COc1cccc(CC2C(=O)N3CCS(=O)C3(C)c3nc4ccccc4c(=O)n32)c1	0.8286	0.8002	0.8447	+0.0161	+0.0445
O=C(NC1CCCCCC1)c1ccc(OCC2CCCO2)cc1	0.9420	0.9552	0.9556	+0.0136	+0.0003
C=Cc1ccc(OC(C)=O)cc1	0.9620	0.9594	0.9659	+0.0039	+0.0065
CCCCCC(C=NC(C)(C)C)=CC=CN(CC)CC	0.7702	0.7272	0.7578	-0.0124	+0.0306
O=C(NCCOc1ccc2nnc(-c3ccc(F)cc3)n2n1)c1ccc(Oc2ccccc2)cc1	0.9577	0.9401	0.9551	-0.0027	+0.0149
CCCCCCCCCCCCC(=O)OCC	0.9925	0.9954	0.9964	+0.0039	+0.0009
COc1cc2c(NCCCCCCO[N+](=O)[O-])nc(C)nc2c(OC)c1OC	0.8445	0.8405	0.8520	+0.0075	+0.0115
CCC(=O)c1cc(Cl)ccc1N=C(O)c1ccccc1	0.9059	0.9257	0.9287	+0.0228	+0.0030
CC=CC=NC=C(N)N	0.7053	0.7564	0.7512	+0.0458	-0.0052
COC(=O)C=CC(=O)OC1NC(=O)NC1=O	0.8243	0.8084	0.8227	-0.0016	+0.0143
CC(C)CN(CC(=O)O)C(=O)N(C)C1CCCC(C)C1	0.8475	0.8508	0.8547	+0.0073	+0.0039
COc1sc(SC)cc1C=NNC(=O)c1cccc([N+](=O)[O-])c1	0.9101	0.8831	0.9040	-0.0061	+0.0208
CN1CCCCC(N2CCC(c3nnc4cc5c(nn34)CCC5)CC2)C1=O	0.7758	0.8576	0.8250	+0.0493	-0.0325
CCC(=O)c1cc(Br)cc(C)c1O	0.8494	0.8280	0.8479	-0.0015	+0.0199
O=C(Nc1sc2c(c1-c1nc3ccccc3[nH]1)CCCC2)C1CCCCO1	0.8455	0.8708	0.8686	+0.0232	-0.0021
CCCCOC1=NC=CC=CC1C(=O)OC	0.8628	0.8796	0.8818	+0.0190	+0.0022
CCc1ccc(C(O)C2CC2)cc1	0.9103	0.9469	0.9361	+0.0258	-0.0108
COc1cc(Cl)c(C)cc1NC(=O)COC(=O)CCn1nnc2ccccc2c1=O	0.9263	0.9420	0.9413	+0.0150	-0.0006
CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O	0.9462	0.9624	0.9559	+0.0097	-0.0065
COc1ccccc1NC(=O)C(=O)NN=Cc1cccc(Cl)c1	0.9634	0.9506	0.9621	-0.0013	+0.0116
N#CC1=CC=CC2C=CC=CC2=C1	0.6957	0.8395	0.8076	+0.1118	-0.0319
COc1ccc2c(c1OC)C(=O)OC2CC(=O)Nc1ccc2nn(-c3ccccc3)nc2c1	0.8946	0.9308	0.9196	+0.0250	-0.0111
Cn1nnc(Br)c1C(=O)c1ccc2c(c1)NCC2	0.8121	0.8221	0.8229	+0.0108	+0.0007
CC(C)NC(=O)NC(C)CCNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1NC(C)C	0.9109	0.9387	0.9415	+0.0306	+0.0028
CCOC(=O)c1c(-c2ccc(Cl)cc2)csc1NC(=O)c1ccc(OCC)cc1	0.9460	0.9657	0.9613	+0.0153	-0.0044
O=c1c2cnc3cc(Cl)cc(Cl)c3c2[nH]n1-c1cccc(F)c1	0.9007	0.8360	0.8821	-0.0187	+0.0460
Cc1cc(-c2ccc(C=NNc3nc4nonc4nc3Nc3cccc(C)c3C)o2)ccc1[N+](=O)[O-]	0.9257	0.9111	0.9271	+0.0013	+0.0159
COC(=O)C1(C)CCCC2(C)C3=C(C(O)CC12)C(C)C(=CC(=O)O)CC3	0.9157	0.9275	0.9355	+0.0198	+0.0079
CC(=O)Oc1ccc(C(C)(C)C)cc1OC(C)=O	0.9129	0.9472	0.9379	+0.0250	-0.0093
CCCCCNC(=O)C(=O)NC1CCCCC1C	0.9593	0.9646	0.9696	+0.0104	+0.0050
CC(C=CC(N)=O)(CC#N)N1CCCCC1	0.7963	0.8484	0.8365	+0.0402	-0.0119
CCC(=O)N1CCCC(c2nc(-c3ccc(C(=O)Nc4ncc(C)s4)cc3Cl)c3c(N)ncc(Cl)n23)C1	0.9135	0.8910	0.9149	+0.0013	+0.0239
O=C(O)C(CCO)Nc1nc2c(ncn2C2OC(CO)C(O)C2O)c(=O)[nH]1	0.8609	0.8964	0.8911	+0.0302	-0.0053
COc1ccc(-c2cc(N)nc3ncnn23)cc1	0.8685	0.8818	0.8837	+0.0152	+0.0019
[N-]=[N+]=C(C(=O)O)C1(O)CCC(F)(F)CC1	0.6982	0.7736	0.7454	+0.0472	-0.0282
CCCC(=O)OC1(C)C(=O)C2=CN(C)C(CCCO)=CC2=C(Cl)C1=O	0.7735	0.7573	0.7754	+0.0019	+0.0182
CCC1(C(Cc2cc(F)cc(Br)c2)NN)CCCC1	0.9226	0.9227	0.9292	+0.0066	+0.0064
C=CC(=O)OCC(C)(CO)COC(=O)C=C	0.9398	0.9611	0.9571	+0.0173	-0.0040
Cc1c(N)cccc1O	0.8825	0.9031	0.8973	+0.0147	-0.0058
O=C1CCCN1CCCO	0.9517	0.9474	0.9626	+0.0109	+0.0151
CCCCNS(=O)(=O)c1ccc(C(=O)N2CCc3ccccc32)cc1	0.9415	0.9293	0.9441	+0.0026	+0.0148
CCCc1cc(N(C)CC(C)C(=O)O)n2ncnc2n1	0.9213	0.9448	0.9410	+0.0198	-0.0038
CCc1cccc(CC)c1NC(=S)Nc1sc2c(c1C(=O)OC)CCCCC2	0.9383	0.9135	0.9348	-0.0035	+0.0213
CC(Nc1c(Nc2ccc3[nH]nc(NC(=O)n4cncn4)c3c2)c(=O)c1=O)c1cccc(O)c1	0.8036	0.8108	0.8128	+0.0092	+0.0020
O=c1c2ccccc2n(Cc2nc(-c3cccc(Br)c3)no2)c(=O)n1CC1CCCO1	0.9218	0.9226	0.9283	+0.0065	+0.0057
NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1	0.8406	0.8651	0.8678	+0.0273	+0.0027
Fc1ccc(NC(=S)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1	0.9693	0.9599	0.9722	+0.0029	+0.0123
CCCn1cc(Cn2cnc3cccc(Cl)c3c2=O)cn1	0.9320	0.9149	0.9394	+0.0074	+0.0245
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O	0.9834	0.9762	0.9841	+0.0007	+0.0079
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)nc1O	0.9745	0.9522	0.9697	-0.0048	+0.0175
CC(C)CC(=C=CC#N)CC(C)C	0.5702	0.6101	0.5970	+0.0268	-0.0131
N=C(O)NNc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1	0.9309	0.9441	0.9466	+0.0157	+0.0025
CCCCCCCCCC(=O)c1ccc(O)c(O)c1O	0.9263	0.9231	0.9334	+0.0071	+0.0103
CC1(C)CC(=NO)CC(C)(C)N1	0.8666	0.8769	0.8857	+0.0191	+0.0088
CC(C)(Nc1cc(N)cc(Cl)n1)C1CC1	0.8528	0.8733	0.8832	+0.0304	+0.0099
Cc1c(OCc2nnc(SCc3ccc(Cl)cc3Cl)n2C)ccc2c1CCCC2	0.8916	0.9485	0.9341	+0.0425	-0.0144
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=C(F)C(=O)C=CC4(C)C3(Cl)C(O)CC21C	0.9757	0.9673	0.9773	+0.0016	+0.0100
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccccc4)c3c2F)CC1	0.9414	0.9217	0.9365	-0.0049	+0.0148
Cc1noc2ccc(-c3ccc(-c4nc5cnccn5c4NC(C)C)cc3)cc12	0.9408	0.9186	0.9404	-0.0004	+0.0218
O=c1[nH]sc2c1c(=O)c1cc(F)c(N3CCNCC3)c(Cl)c1n2-c1ccc(F)cc1	0.8016	0.7850	0.8053	+0.0037	+0.0203
CCOc1ccc2nc(-c3cccnc3)nc(Nc3cc(C)c(F)cn3)c2c1	0.9094	0.9153	0.9222	+0.0128	+0.0069
O=C1N=C(O)c2cccc3cccc1c23	0.8176	0.8700	0.8604	+0.0429	-0.0096
CC(C)(CN)CN(Cc1cc(NC(=O)c2cccnc2)ccc1Cl)C(=O)c1cccc(F)c1	0.9553	0.9604	0.9635	+0.0083	+0.0031
NCCc1c[nH]c2ccc(OCc3ccccc3)cc12	0.9651	0.9754	0.9743	+0.0092	-0.0011
CCOC(OCC)c1ccccc1	0.9377	0.9565	0.9558	+0.0181	-0.0007
CCCNC(Cc1cccc2ccccc12)C(OC)OC	0.9491	0.9540	0.9562	+0.0071	+0.0023
N#CC(=NO)C(=O)OCC(O)CO	0.8279	0.8519	0.8537	+0.0258	+0.0018
CS(=O)(=O)CCC(=O)NC1CC(c2cccc(Cl)c2)C1	0.9112	0.8584	0.9045	-0.0067	+0.0460
NC(=NO)c1ccc(NC(=O)c2csc(Br)c2)c(Br)c1	0.9041	0.9376	0.9256	+0.0215	-0.0120
CN1C(=O)Cc2cc(NC(=O)N3CCC(Nc4ccc5nccn5n4)C3)ccc21	0.9326	0.9307	0.9394	+0.0068	+0.0087
CN1C(=O)C(=O)N(CCCCC(=O)O)C1=O	0.9347	0.9255	0.9348	+0.0001	+0.0093
OC1CCNC1	0.8214	0.8343	0.8334	+0.0120	-0.0009
Cc1ccc(Cl)cc1Oc1ccc(C(N)=NO)c(Br)c1	0.9031	0.9183	0.9242	+0.0211	+0.0059
CN1C(=O)c2ccccc2C1=O	0.8530	0.8138	0.8462	-0.0068	+0.0324
Nc1cc(Cl)c(Cl)cc1N	0.7607	0.7054	0.7465	-0.0142	+0.0411
CCCOc1cccc(C(O)=C2C(=O)C(=O)N(c3nc4ccc(OC)cc4s3)C2c2ccc(OCC)cc2)c1	0.9809	0.9760	0.9828	+0.0019	+0.0068
COc1cccc(C(=O)Nc2nnc(-c3ccc([N+](=O)[O-])cc3)s2)c1	0.9673	0.9515	0.9672	-0.0001	+0.0157
CC(C)CC1CC12CC(C(=O)CC(CC1CCC1)C(=O)C(N)=O)N(C(=O)C(CC(=O)OC(C)(C)C)C(C)(C)C)C2	0.9428	0.9627	0.9632	+0.0204	+0.0005
Cc1ccc(C(=O)O)cc1[N+](=O)[O-]	0.9725	0.9565	0.9686	-0.0039	+0.0120
COC(=O)C(=NC(=O)OC(C)(C)C)C(F)F	0.8668	0.9055	0.8945	+0.0277	-0.0110
CC(=O)CN1C(=O)c2ccccc2C1=O	0.9457	0.9488	0.9560	+0.0103	+0.0072
c1ccc(NNc2ccnc3ccccc23)cc1	0.9020	0.8892	0.9009	-0.0011	+0.0117
CC(C)(C)[Si](C)(C)OC1CC(O)C(c2cccc3ccccc23)C1	0.8113	0.9632	0.9090	+0.0976	-0.0542
CCOC(=O)/C(C#N)=C/c1ccc(C)cc1	0.9586	0.9251	0.9526	-0.0060	+0.0275
Cc1cc(C(C)C)cc(C(C)C)c1	0.9210	0.9143	0.9257	+0.0048	+0.0114
O=C(O)c1c(O)cc2c(c1C(=O)O)C(=O)c1c(O)c(-c3cc(CCO)ccc3O)c(O)c(O)c1C2=O	0.9594	0.9493	0.9649	+0.0055	+0.0156
CCCc1ccc(C(=O)Oc2ccc(NC(C)=O)cc2)cc1	0.9613	0.9621	0.9682	+0.0069	+0.0061
CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)COc2ccc3ccccc3c2Br)cc1	0.9379	0.9509	0.9554	+0.0175	+0.0044
COc1ccc(C2=NN=C(O)C2CCO)c([N+](=O)[O-])c1	0.9315	0.9411	0.9425	+0.0111	+0.0014
COc1cc(Cl)c(C)cc1Nc1cc(N)nc(N)n1	0.9146	0.9315	0.9321	+0.0176	+0.0006
NN=C(O)C1CCC(C(O)=NN)CC1	0.7337	0.7062	0.7316	-0.0021	+0.0254
CCCN1C(=O)NC(c2cccc(NC(=O)Nc3ccc(Cl)c(Cl)c3)c2)C(C(=O)OC(C)C)=C1C	0.9706	0.9658	0.9739	+0.0033	+0.0081
CCCCCCCCCCCCCCC(O)CC	0.9896	0.9880	0.9944	+0.0048	+0.0064
CC(=O)c1ccc(Cl)s1	0.9228	0.9097	0.9261	+0.0034	+0.0165
CCOc1ccc(N=CO)cc1	0.9432	0.9280	0.9497	+0.0066	+0.0218
O=C1O[C@@H]2C[C@@]1(O)C[C@@H](O)[C@H]2O	0.8550	0.8635	0.8690	+0.0140	+0.0056
CC(=O)C(N)CCCNCC(=O)CCN1C(=O)C=CC1=O	0.8981	0.8902	0.9012	+0.0031	+0.0110
CCOc1cc(C=Nn2c(CC)nc3ccc(Br)cc3c2=O)cc(Cl)c1OCc1ccc2c(c1)OCO2	0.9789	0.9834	0.9866	+0.0078	+0.0032
CCCCCCCCCCCCSC1c2[nH]c3ccccc3c2CCN1S(=O)(=O)c1ccc(C)cc1	0.9223	0.9346	0.9350	+0.0127	+0.0003
Cc1nc(C)c(C(=O)C2=C(O)C(=O)N(c3nnc(SCc4ccc(Cl)cc4)s3)C2c2ccc(Br)cc2)s1	0.9517	0.9464	0.9542	+0.0025	+0.0078
CNC(c1sccc1Cl)c1ccc(Br)c2ccccc12	0.9476	0.9532	0.9634	+0.0158	+0.0103
CCN(CC)S(=O)(=O)c1ccc(C=CC(=O)Oc2cccc(C(F)(F)F)c2)cc1	0.9194	0.9509	0.9417	+0.0222	-0.0092
O=C(O)CCCc1c[nH]c2c(=O)[nH]c3ccc(S(=O)(=O)N(CCOCc4ccccc4)C4CC4)cc3c12	0.9223	0.9344	0.9346	+0.0123	+0.0002
O=Cc1ccc(F)cc1Cl	0.8951	0.8836	0.8984	+0.0032	+0.0148
COc1cc(C)c(CN(C)C(C)C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc1OC	0.9454	0.8934	0.9281	-0.0173	+0.0347
Nc1c(F)c(F)nc(F)c1F	0.6275	0.6185	0.6305	+0.0031	+0.0120
CSc1ccccc1	0.8880	0.8687	0.8884	+0.0005	+0.0197
O=C1OCCC1Sc1nc2ccccc2[nH]1	0.8587	0.8574	0.8683	+0.0096	+0.0109
Cc1cc2nc3nc(O)nc(O)c3nc2cc1C	0.8704	0.8934	0.8933	+0.0229	-0.0000
Cc1ccc(Br)cc1C(=O)Nc1cccc2ccncc12	0.9312	0.9308	0.9395	+0.0083	+0.0087
COc1ccc(C(=O)Oc2ccc(C=NNC(=O)C(=O)Nc3cccc(Cl)c3C)cc2OC)cc1	0.9786	0.9726	0.9819	+0.0033	+0.0093
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl	0.9326	0.9392	0.9503	+0.0177	+0.0111
Cc1nc(S)n[nH]1	0.8096	0.8027	0.8226	+0.0129	+0.0199
CCOC(=O)CCCN1c2cc(O)c(C=O)cc2C(C)=CC1(C)C	0.9192	0.9271	0.9302	+0.0110	+0.0032
CCCc1ccc(Br)cc1	0.9520	0.9505	0.9556	+0.0037	+0.0052
CCC1(CNc2c([N+](=O)[O-])cnc3ccccc23)CC1	0.8693	0.9319	0.9085	+0.0392	-0.0234
O=[N+]([O-])c1cc([N+](=O)[O-])c2ccc(S(=O)(=O)O)cc2c1O	0.9089	0.8908	0.9067	-0.0022	+0.0159
O=C(O)c1cc(O)cs1	0.8635	0.8747	0.8849	+0.0214	+0.0102
CCCC(OC)c1noc(C(CC)C(=O)OCC)n1	0.8723	0.9423	0.9271	+0.0548	-0.0152
O=C1C(=C(c2ccccc2)c2ccccc2)C(=C(c2ccccc2)c2ccccc2)C1Br	0.8464	0.8593	0.8646	+0.0183	+0.0053
CC(C)C[C@H](N)C(O)=N[C@@H](Cc1ccc(O)cc1)C(=O)O	0.9633	0.9662	0.9713	+0.0079	+0.0051
O=C1c2[nH]nc(-c3ccccc3)c2C(c2ccc(OCc3ccc(Cl)cc3)cc2)N1Cc1ccccc1Cl	0.9474	0.8949	0.9358	-0.0115	+0.0410
CC(=O)N1CCC2C(COC(=O)N(C)C(N)=O)=C(C(=O)O)N3C(=O)C1C23	0.8934	0.9212	0.9156	+0.0222	-0.0056
COc1ccc(/C=C(\C(=O)O)c2ccccc2)cc1	0.9329	0.9173	0.9275	-0.0054	+0.0103
Cc1ccc2nc(-c3ccc(C)c(NC(=O)c4sc5ccccc5c4Cl)c3)oc2c1	0.9267	0.9125	0.9316	+0.0049	+0.0192
CC1=CC=C(C(=O)O)C(C(=O)O)C1(C)[N+](=O)[O-]	0.8785	0.9039	0.9080	+0.0295	+0.0040
CCCCCCCCCCCC(N=C(N)N)C(F)CCC(=O)NC1C(C)CC(C(=O)O)=CC1OC(CC)CC	0.9289	0.9241	0.9369	+0.0080	+0.0128
Cc1ccc(S(=O)(=O)N(CC(=O)N(Cc2ccccc2Cl)C(C)C(=O)NC(C)C)c2cccc(Cl)c2Cl)cc1	0.9347	0.9349	0.9466	+0.0119	+0.0117
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1	0.9075	0.9437	0.9340	+0.0266	-0.0097
O=C(c1ccccc1)N1CCN(c2cc(Oc3ccc(Cl)cc3F)ncn2)CC1	0.9726	0.9514	0.9727	+0.0001	+0.0213
CCc1ccc(OC(C)=O)cc1	0.9421	0.9508	0.9513	+0.0093	+0.0005
ClC1=C(Cl)C1(Cl)Cl	0.4211	0.3343	0.3787	-0.0423	+0.0445
C=COC(=O)C(=C)C	0.8769	0.9379	0.9178	+0.0408	-0.0202
CC(C)(N)c1ccc(-c2ccc3[nH]ncc3c2OCC(F)(F)F)cc1	0.8949	0.8961	0.9011	+0.0062	+0.0050
CCOC(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(C(N)=O)c3)cc2)c1	0.9607	0.9788	0.9788	+0.0181	+0.0001
CCC(C)CC(=NNc1nncc2ccccc12)C(=O)O	0.8491	0.8551	0.8657	+0.0166	+0.0105
CC=C1CC2=C(C(=O)OC2=O)C(CCC)C(O)C(=O)CC1O	0.9103	0.9228	0.9298	+0.0195	+0.0070
COCC=CC(=O)N1CCCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12	0.9405	0.9449	0.9543	+0.0138	+0.0094
N#C/C=C\c1ccccc1C#N	0.7906	0.7830	0.7932	+0.0026	+0.0102
C#CCOCC#Cc1ccc(NC(=O)OC(C)(C)C)c(C(=O)CC(NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c1	0.9135	0.9338	0.9316	+0.0182	-0.0022
O=C(Cl)N1c2ccccc2CCc2ccccc21	0.6376	0.6429	0.6527	+0.0151	+0.0098
O=C(O)c1ccnnc1Oc1ccccc1F	0.9182	0.8995	0.9136	-0.0046	+0.0140
CCCCCOc1ccccc1C1C(C#N)=C(N)Oc2cc(OC(=O)c3ccccc3OCCCC)ccc21	0.9492	0.9402	0.9573	+0.0081	+0.0171
Cc1nc(-c2nc(Cl)cs2)ncc1C(=O)Nn1cc(C(F)F)c2cnccc21	0.8904	0.9057	0.9059	+0.0155	+0.0002
CCC(C)(C)S	0.9256	0.9330	0.9353	+0.0097	+0.0023
N#CCCN1CCOCC1	0.9581	0.9597	0.9713	+0.0132	+0.0116
CCC(C)(C)N(C)c1c(F)cccc1C(C)N	0.8999	0.8972	0.9036	+0.0036	+0.0064
COC(=O)N(C)C	0.8750	0.8253	0.8678	-0.0072	+0.0426
Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc3c(cc2OC(F)F)NCC(C)(C)O3)n1	0.9385	0.9496	0.9535	+0.0150	+0.0039
Cn1c(=Cc2ccccc2)[nH]c(=Cc2c[nH]c3ncccc23)c1=O	0.8935	0.9278	0.9198	+0.0263	-0.0080
NC1C(O)C(CO)OC1N1C=NC=CC1	0.8980	0.8204	0.8777	-0.0203	+0.0573
CC(C)Oc1ccc(C=C(NC(=O)c2ccc(OCCC(F)(F)F)cc2)C(=O)NCCO)cc1	0.9646	0.9619	0.9669	+0.0022	+0.0050
CC(C)CC(CNC(=O)c1cccc2nc(C(=O)NC3CC3)cn12)c1ccccc1	0.9238	0.9165	0.9327	+0.0089	+0.0162
CC(Nc1cccc2cccnc12)c1ccc(F)c(Cl)c1	0.9235	0.9409	0.9396	+0.0162	-0.0013
CCOc1cc(C)ccc1NC(=O)c1cccc(CCl)c1	0.9518	0.9428	0.9518	-0.0000	+0.0090
O=C1OC2(c3ccccc31)c1ccc(O)c(O)c1Oc1c2cc(Cl)c(O)c1Cl	0.9348	0.9140	0.9375	+0.0027	+0.0235
Cc1cc(NC(=O)c2cccc(Cl)c2Cl)ccc1Br	0.9541	0.9525	0.9654	+0.0114	+0.0130
CCOC(=O)c1c2cccc(C)cc-2c(C(=O)OCC)c1N	0.9155	0.9262	0.9277	+0.0122	+0.0015
CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O	0.9496	0.9217	0.9461	-0.0035	+0.0244
CNC(C)c1ccc(OC(C)C(=O)NCCOC)c(C)c1	0.9171	0.9485	0.9405	+0.0234	-0.0080
COc1ccc(C(=O)N2CCCC2=O)cc1	0.9195	0.9240	0.9289	+0.0094	+0.0049
COc1ccc(-c2cc(N=Nc3c(OC)cc(OC)cc3OC)n[nH]2)cc1	0.9313	0.9408	0.9435	+0.0122	+0.0027
CC(O)CCCCO	0.9861	0.9791	0.9856	-0.0004	+0.0065
Cc1ccncc1N=C(O)OCc1ccccc1	0.9499	0.8467	0.9319	-0.0180	+0.0852
COc1ccc(NC(=O)c2oc3ccccc3c2NC(=O)c2ccc(OC(C)C)cc2)cc1	0.9632	0.9640	0.9687	+0.0055	+0.0047
COc1cc(CCC(=O)OCc2cn3cc(Cl)cc(Cl)c3n2)cc(OC)c1	0.8959	0.8891	0.8979	+0.0020	+0.0088
O=C(NC1CCCC1C(=O)NO)c1ccc(Oc2ccccc2C(F)(F)F)cc1	0.8917	0.8788	0.8957	+0.0040	+0.0169
CC1CNCCN1Cc1cc(=O)n2[nH]ccc2n1	0.8796	0.8680	0.8822	+0.0026	+0.0141
OC(=NN=Cc1ccccn1)c1ccccc1O	0.7736	0.8132	0.8007	+0.0270	-0.0125
CC(=O)/C=C/c1ccc(N(C)C)cc1	0.9668	0.9625	0.9738	+0.0070	+0.0113
O=S1C=CC2=C1C=CNN2	0.6507	0.7125	0.6890	+0.0384	-0.0235
CN1C(=O)C2(NN=C(c3ccc(Cl)cc3)C2O)c2ccccc21	0.9575	0.9335	0.9505	-0.0070	+0.0170
Cc1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(-c3ccc4nnc(-c5ccncc5)n4n3)c2)cc1[N+](=O)[O-]	0.8803	0.8771	0.8846	+0.0043	+0.0075
Cc1ccc(C)c(NC(=O)c2ccc3c(c2)SC2=NS(=O)(=O)CCN23)c1	0.8369	0.9073	0.8782	+0.0413	-0.0291
CC=CC=CC(=O)NC(C(=O)O)C(C)CC	0.9467	0.9435	0.9473	+0.0006	+0.0039
Cc1cc(Oc2ccccc2)nc2cc(-c3nn(C4=CC=C4)c4ncnc(N)c34)ccc12	0.9334	0.9414	0.9469	+0.0135	+0.0055
O=[N+]([O-])c1cccc(CO)c1	0.9288	0.9259	0.9320	+0.0032	+0.0061
CC1(C)C(=C2C=CC(=N)C=C2)C2C=CCC2C1=C1C=CC(N)=CC1	0.8823	0.8353	0.8804	-0.0019	+0.0451
CN(Cc1ccccc1)c1nc2c(c(Oc3ccccc3F)n1)CN(C(=O)c1c(F)cccc1F)CC2	0.8610	0.8488	0.8630	+0.0020	+0.0142
COCc1nc(NN)cc(Nc2cccc(Cl)c2Br)n1	0.9559	0.9305	0.9534	-0.0024	+0.0229
C[C@H](N=C(O)[C@H](C)N=C(O)OCc1ccccc1)C(=O)O	0.9827	0.9806	0.9858	+0.0031	+0.0052
CCON=[N+]([O-])N(C)CON=[N+]([O-])N1CCCCC1	0.8160	0.7932	0.8126	-0.0034	+0.0194
COc1cc(-c2nc(=S)[nH]c(Cl)c2C#N)ccc1Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]	0.9316	0.9474	0.9484	+0.0168	+0.0010
CCCCOCCOCCOCCOCCOc1ccc(N(C)CC)cc1	0.9327	0.9258	0.9365	+0.0037	+0.0106
CON=CC(=O)N1CCCC2(CC1)SCCS2	0.8619	0.8158	0.8458	-0.0161	+0.0300
O=[N+]([O-])c1cc(OCc2ccccc2)ccc1O	0.9487	0.9539	0.9583	+0.0095	+0.0043
Cc1cccc(C=CC(=O)c2ccc(F)cc2)c1	0.9558	0.9689	0.9698	+0.0140	+0.0009
O=C(Cl)c1ccc(-c2ccccc2)cc1	0.9087	0.8826	0.9015	-0.0072	+0.0189
COc1ccc(C(=O)Nc2ccc(N3CCOCC3)c(Br)c2)cc1Cl	0.9346	0.9643	0.9557	+0.0211	-0.0086
CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl	0.9071	0.9250	0.9274	+0.0203	+0.0024
CCC(C)c1ccc(NC(=O)CSc2nnc(-c3ccccn3)n2-c2ccccc2)cc1	0.9203	0.9656	0.9515	+0.0312	-0.0140
Brc1cnc2cc(OCc3ccccc3)cnc2c1	0.8723	0.8985	0.8909	+0.0186	-0.0075
COc1ccc(CS)cc1	0.9532	0.9454	0.9570	+0.0038	+0.0116
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12	0.9388	0.9577	0.9637	+0.0248	+0.0060
CC(C)c1ccccc1OCCn1c(C2CC2)nc2ccccc21	0.9620	0.9621	0.9711	+0.0092	+0.0091
O=[N+]([O-])c1c(Nc2ccccn2)cc(N2CCc3ccccc32)c2nonc12	0.7745	0.8879	0.8400	+0.0655	-0.0479
CN1CCN(C)C(C(N)c2cccs2)C1	0.8766	0.9376	0.9234	+0.0469	-0.0142
CC(C)Cn1nc(C(=O)Nc2ccc(F)cc2)c2ccccc2c1=O	0.9564	0.9623	0.9667	+0.0104	+0.0044
Cc1c(N2CC(C(C)N)C(F)(F)C2)c(F)c(C(F)F)c2c(=O)[nH]c(=O)n(C3CC3)c12	0.8885	0.8636	0.8854	-0.0031	+0.0218
COCCOc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OC	0.9363	0.9407	0.9449	+0.0085	+0.0042
CCOC(=O)C(=O)C1(Cl)CCCOC1=O	0.8823	0.8124	0.8615	-0.0208	+0.0492
Cc1nc2ccc(NC(=O)NCc3ccn(C4CCCC4)n3)cn2n1	0.9114	0.9353	0.9309	+0.0195	-0.0044
CN(C)C1=CC=CC2C=CC=CC12	0.7862	0.7932	0.7989	+0.0127	+0.0057
COC(=O)C1CCCCC1	0.9773	0.9836	0.9837	+0.0065	+0.0001
